Start IP,End IP,CIDR,Number of IPs
5.2.178.0,5.2.179.255,5.2.178.0/23,512
82.137.40.0,82.137.41.255,82.137.40.0/23,512
5.2.184.0,5.2.191.255,5.2.184.0/21,2048
82.78.244.0,82.78.244.255,82.78.244.0/24,256
82.77.200.0,82.77.203.255,82.77.200.0/22,1024
82.79.18.0,82.79.18.31,82.79.18.0/27,32
82.77.149.96,82.77.149.103,82.77.149.96/29,8
82.78.68.192,82.78.68.255,82.78.68.192/26,64
82.78.3.64,82.78.3.95,82.78.3.64/27,32
82.77.62.0,82.77.62.255,82.77.62.0/24,256
82.77.13.0,82.77.13.7,82.77.13.0/29,8
5.2.200.0,5.2.203.255,5.2.200.0/22,1024
82.77.149.32,82.77.149.63,82.77.149.32/27,32
84.232.181.0,84.232.181.255,84.232.181.0/24,256
195.182.220.0,195.182.221.255,195.182.220.0/23,512
82.78.227.224,82.78.227.231,82.78.227.224/29,8
86.105.120.0,86.105.127.255,86.105.120.0/21,2048
188.24.192.0,188.24.255.255,188.24.192.0/18,16384
81.18.83.0,81.18.83.255,81.18.83.0/24,256
188.24.0.0,188.24.127.255,188.24.0.0/17,32768
213.157.176.0,213.157.177.255,213.157.176.0/23,512
91.201.192.0,91.201.195.255,91.201.192.0/22,1024
62.231.99.0,62.231.99.255,62.231.99.0/24,256
212.93.144.0,212.93.144.63,212.93.144.0/26,64
212.93.144.128,212.93.144.191,212.93.144.128/26,64
213.157.179.224,213.157.179.255,213.157.179.224/27,32
79.118.0.0,79.118.15.255,79.118.0.0/20,4096
79.119.0.0,79.119.63.255,79.119.0.0/18,16384
89.44.44.0,89.44.45.255,89.44.44.0/23,768
89.44.46.0,89.44.46.255,89.44.46.0/24,768
194.55.169.0,194.55.169.255,194.55.169.0/24,256
86.124.0.0,86.127.255.255,86.124.0.0/14,262144
81.18.72.64,81.18.72.71,81.18.72.64/29,8
5.13.120.0,5.13.123.255,5.13.120.0/22,1024
79.119.248.0,79.119.255.255,79.119.248.0/21,2048
31.14.192.0,31.14.199.255,31.14.192.0/21,2048
81.18.87.192,81.18.87.255,81.18.87.192/26,64
212.93.139.0,212.93.139.255,212.93.139.0/24,256
79.119.128.0,79.119.191.255,79.119.128.0/18,16384
84.232.146.0,84.232.147.255,84.232.146.0/23,512
81.18.80.0,81.18.80.255,81.18.80.0/24,256
89.39.72.0,89.39.75.255,89.39.72.0/22,1024
81.18.86.192,81.18.86.255,81.18.86.192/26,64
84.232.177.0,84.232.177.255,84.232.177.0/24,256
79.119.96.0,79.119.127.255,79.119.96.0/19,8192
5.13.80.0,5.13.95.255,5.13.80.0/20,4096
79.119.224.0,79.119.231.255,79.119.224.0/21,3584
79.119.232.0,79.119.235.255,79.119.232.0/22,3584
79.119.236.0,79.119.237.255,79.119.236.0/23,3584
212.93.150.128,212.93.150.191,212.93.150.128/26,64
81.18.73.80,81.18.73.95,81.18.73.80/28,16
213.157.178.192,213.157.178.207,213.157.178.192/28,16
79.118.146.0,79.118.147.255,79.118.146.0/23,512
84.232.215.0,84.232.215.255,84.232.215.0/24,256
84.232.232.0,84.232.239.255,84.232.232.0/21,2048
194.102.80.0,194.102.80.255,194.102.80.0/24,256
5.13.104.0,5.13.111.255,5.13.104.0/21,2048
188.24.128.0,188.24.159.255,188.24.128.0/19,8192
84.232.224.0,84.232.231.255,84.232.224.0/21,2048
82.76.0.0,82.79.255.255,82.76.0.0/14,262144
79.119.238.0,79.119.239.255,79.119.238.0/23,512
62.231.92.0,62.231.93.255,62.231.92.0/23,512
81.18.89.0,81.18.89.255,81.18.89.0/24,256
79.119.82.0,79.119.83.255,79.119.82.0/23,512
81.18.72.112,81.18.72.127,81.18.72.112/28,16
79.118.76.0,79.118.77.255,79.118.76.0/23,512
213.157.189.0,213.157.189.255,213.157.189.0/24,256
5.12.0.0,5.12.255.255,5.12.0.0/16,65536
93.113.40.0,93.113.43.255,93.113.40.0/22,1024
193.231.238.0,193.231.238.255,193.231.238.0/24,256
